timestamps,TP9,AF7,AF8,TP10,Right AUX
1722219901.171,-107.910,-291.504,34.668,-146.973,0.000
1722219901.175,-92.773,-588.379,-4.395,-110.840,0.000
1722219901.178,-60.059,-697.266,0.977,-83.008,0.000
1722219901.182,-45.898,-260.742,33.203,-88.867,0.000
1722219901.186,-43.945,-270.508,18.555,-83.984,0.000
1722219901.190,-47.852,-820.801,-88.379,-61.523,0.000
1722219901.194,-25.391,-790.527,-68.359,-35.156,0.000
1722219901.198,0.000,-297.363,49.805,-42.480,0.000
1722219901.202,-7.812,-604.980,-24.414,-52.246,0.000
1722219901.205,-20.508,-846.680,-50.781,-40.527,0.000
1722219901.209,-9.277,-456.543,28.320,-18.066,0.000
1722219901.213,13.672,-127.930,56.152,-9.277,0.000
1722219901.218,19.043,-266.602,6.348,-26.855,0.000
1722219901.222,-7.324,-602.051,-12.207,-30.273,0.000
1722219901.225,-16.113,-453.613,30.273,-4.395,0.000
1722219901.229,10.254,-102.539,38.086,1.953,0.000
1722219901.233,22.461,-323.242,-15.137,-5.859,0.000
1722219901.237,10.742,-810.547,-69.824,-0.977,0.000
1722219901.241,-1.465,-909.668,-37.598,10.254,0.000
1722219901.245,7.324,-679.688,21.973,15.625,0.000
1722219901.249,18.555,-566.406,-4.395,1.465,0.000
1722219901.252,8.301,-795.410,-71.777,-10.254,0.000
1722219901.256,-18.066,-805.176,-22.461,2.930,0.000
1722219901.260,-11.230,-480.957,26.367,18.066,0.000
1722219901.265,18.555,-484.375,-18.555,1.465,0.000
1722219901.269,15.625,-716.309,-56.641,-25.391,0.000
1722219901.272,-3.418,-500.000,-13.672,-14.648,0.000
1722219901.276,-6.836,-352.051,1.953,8.301,0.000
1722219901.280,15.137,-560.059,-38.574,9.766,0.000
1722219901.284,27.832,-1000.000,-89.844,2.441,0.000
1722219901.288,9.277,-863.281,-54.199,-10.254,0.000
1722219901.292,-3.418,-473.145,9.766,-9.277,0.000
1722219901.296,22.949,-731.445,-93.262,4.395,0.000
1722219901.299,37.109,-887.207,-119.629,-4.883,0.000
1722219901.303,18.555,-486.328,17.090,-22.461,0.000
1722219901.307,6.348,-503.906,-6.836,-6.348,0.000
1722219901.312,21.484,-838.867,-43.945,3.418,0.000
1722219901.316,34.668,-874.023,-29.785,-9.277,0.000
1722219901.319,18.066,-570.312,4.883,-18.555,0.000
1722219901.323,-5.859,-614.746,-15.625,-11.719,0.000
1722219901.327,3.906,-810.547,-40.527,0.000,0.000
1722219901.331,13.184,-832.520,-22.949,-5.371,0.000
1722219901.335,2.930,-912.598,-31.738,-23.438,0.000
1722219901.339,-7.324,-1000.000,-49.805,-19.043,0.000
1722219901.343,-11.230,-967.285,-72.266,-10.742,0.000
1722219901.346,-2.441,-654.785,4.883,-31.738,0.000
1722219901.350,-1.953,-397.461,46.387,-54.688,0.000
1722219901.354,-19.043,-704.102,-41.016,-50.781,0.000
1722219901.359,-35.156,-844.238,-41.992,-44.922,0.000
1722219901.362,-18.555,-469.238,21.973,-46.875,0.000
1722219901.366,-11.719,-452.148,-3.418,-44.434,0.000
1722219901.370,-18.066,-782.227,-61.523,-40.527,0.000
1722219901.374,-27.344,-882.812,-60.547,-40.039,0.000
1722219901.378,-29.297,-873.047,-34.668,-33.203,0.000
1722219901.382,-11.719,-946.289,-19.043,-36.133,0.000
1722219901.386,-8.789,-989.746,-101.074,-40.527,0.000
1722219901.389,-26.855,-885.254,-93.750,-28.809,0.000
1722219901.393,-27.344,-490.234,63.965,-25.879,0.000
1722219901.397,-8.301,-396.484,35.645,-38.574,0.000
1722219901.401,-12.207,-729.492,-34.668,-53.711,0.000
1722219901.405,-35.645,-757.812,-13.184,-58.594,0.000
1722219901.409,-41.504,-521.973,20.996,-60.547,0.000
1722219901.413,-12.695,-554.199,-11.719,-57.617,0.000
1722219901.417,-12.207,-719.238,-34.180,-64.941,0.000
1722219901.421,-36.133,-715.820,-21.973,-74.707,0.000
1722219901.425,-46.875,-882.812,-41.992,-63.965,0.000
1722219901.429,-25.879,-953.613,-30.762,-54.688,0.000
1722219901.432,-2.930,-957.520,-84.961,-56.641,0.000
1722219901.436,-25.879,-827.148,-28.809,-72.266,0.000
1722219901.440,-49.316,-406.738,66.895,-72.266,0.000
1722219901.444,-35.645,-515.137,4.395,-54.688,0.000
1722219901.448,-16.602,-668.457,-8.789,-65.918,0.000
1722219901.452,-23.926,-402.344,19.531,-82.031,0.000
1722219901.456,-35.645,-320.801,12.695,-62.988,0.000
1722219901.460,-28.809,-639.160,-17.578,-39.062,0.000
1722219901.464,-16.602,-673.340,-3.906,-45.410,0.000
1722219901.468,-21.484,-413.086,6.348,-58.594,0.000
1722219901.472,-36.133,-759.766,-18.066,-53.223,0.000
1722219901.475,-38.086,-1000.000,-67.383,-45.410,0.000
1722219901.479,-31.738,-788.086,-49.316,-49.805,0.000
1722219901.483,-28.320,-527.832,57.129,-60.059,0.000
1722219901.487,-43.945,-476.074,29.297,-59.082,0.000
1722219901.491,-72.754,-571.777,-0.488,-54.688,0.000
1722219901.495,-56.152,-438.965,33.203,-45.898,0.000
1722219901.499,-38.574,-153.320,48.340,-50.293,0.000
1722219901.503,-52.246,-322.266,1.465,-70.312,0.000
1722219901.507,-68.848,-580.566,-13.672,-65.430,0.000
1722219901.511,-52.734,-362.793,34.668,-53.711,0.000
1722219901.515,-34.180,-168.457,20.996,-59.570,0.000
1722219901.518,-44.434,-584.961,-48.340,-63.965,0.000
1722219901.522,-54.199,-954.102,-107.422,-56.152,0.000
1722219901.526,-48.828,-719.238,-16.602,-53.711,0.000
1722219901.530,-24.414,-111.328,88.867,-57.129,0.000
1722219901.534,-24.902,-243.652,10.254,-67.383,0.000
1722219901.538,-53.223,-652.344,-53.223,-73.730,0.000
1722219901.542,-62.012,-654.785,-23.438,-62.012,0.000
1722219901.546,-41.504,-274.902,37.109,-64.941,0.000
1722219901.550,-33.691,-366.211,-15.625,-74.707,0.000
1722219901.554,-49.316,-664.062,-57.617,-77.637,0.000
1722219901.558,-68.848,-342.773,-3.418,-76.660,0.000
1722219901.562,-62.012,-208.496,9.766,-70.801,0.000
1722219901.565,-49.316,-665.527,-90.820,-76.660,0.000
1722219901.569,-63.965,-860.840,-100.098,-87.402,0.000
1722219901.573,-80.078,-421.387,4.395,-87.891,0.000
1722219901.577,-70.801,-239.258,-8.301,-72.266,0.000
1722219901.581,-53.711,-621.094,-95.703,-60.547,0.000
1722219901.585,-58.594,-723.633,-81.055,-67.871,0.000
1722219901.589,-81.055,-331.543,-2.930,-76.660,0.000
1722219901.593,-82.031,-362.305,-33.203,-65.918,0.000
1722219901.597,-47.363,-675.293,-56.641,-55.664,0.000
1722219901.601,-36.133,-651.855,-42.480,-69.824,0.000
1722219901.605,-61.523,-394.043,-36.621,-75.684,0.000
1722219901.609,-86.426,-519.531,-60.059,-63.965,0.000
1722219901.612,-63.965,-802.734,-95.215,-54.199,0.000
1722219901.616,-40.039,-904.297,-79.590,-62.012,0.000
1722219901.620,-57.617,-837.402,-40.527,-76.660,0.000
1722219901.624,-69.336,-757.324,-45.410,-60.547,0.000
1722219901.628,-44.922,-858.887,-89.355,-39.551,0.000
1722219901.632,-36.621,-643.066,-12.695,-54.688,0.000
1722219901.636,-47.363,-367.188,13.672,-67.871,0.000
1722219901.640,-47.852,-715.332,-77.637,-54.688,0.000
1722219901.644,-52.246,-846.680,-64.941,-53.223,0.000
1722219901.648,-53.711,-415.039,4.883,-69.824,0.000
1722219901.652,-63.477,-488.770,-40.039,-75.684,0.000
1722219901.656,-73.242,-884.277,-99.121,-71.289,0.000
1722219901.659,-67.871,-1000.000,-79.102,-62.012,0.000
1722219901.663,-48.340,-771.484,-15.625,-69.824,0.000
1722219901.667,-49.805,-505.859,5.371,-85.938,0.000
1722219901.671,-62.988,-812.500,-128.418,-76.172,0.000
1722219901.675,-71.777,-915.039,-133.301,-60.547,0.000
1722219901.679,-66.895,-463.867,41.992,-66.406,0.000
1722219901.683,-59.570,-407.715,1.953,-72.266,0.000
1722219901.687,-74.707,-782.715,-71.289,-77.148,0.000
1722219901.691,-95.215,-768.555,-30.273,-75.195,0.000
1722219901.695,-78.125,-497.559,4.395,-62.500,0.000
1722219901.699,-56.641,-547.852,-31.738,-63.965,0.000
1722219901.702,-57.617,-844.238,-62.500,-69.336,0.000
1722219901.706,-66.406,-988.281,-55.176,-60.547,0.000
1722219901.710,-73.242,-954.102,-40.527,-57.129,0.000
1722219901.714,-46.875,-974.609,-40.527,-57.129,0.000
1722219901.718,-38.086,-986.816,-93.750,-59.082,0.000
1722219901.722,-71.289,-780.273,-27.344,-68.848,0.000
1722219901.726,-80.078,-497.559,48.340,-57.129,0.000
1722219901.730,-62.500,-665.527,-25.879,-52.246,0.000
1722219901.734,-59.082,-859.863,-59.082,-74.219,0.000
